h, 0, 93.333, 70.571, 98.000, 70.856, 98.000, 70.856, 98.000, 70.856, 
h, 1, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 80.000, 73.644, 
h, 2, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 
h, 3, -, -, 87.500, 655.902, 87.500, 655.902, 87.500, 645.617, 
h, 4, 80.000, 70.855, 98.000, 73.035, 98.000, 73.035, 98.000, 73.035, 
h, 5, 87.500, 133.017, 56.000, 111.502, 87.500, 133.017, 87.500, 133.017, 
h, 6, 70.000, 104.884, 50.907, 113.111, 70.000, 114.884, 76.360, 124.884, 
h, 7, 70.000, 125.126, 70.000, 115.126, 70.000, 125.127, 76.360, 135.125, 
h, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
h, 9, -, -, 70.000, 689.699, 70.000, 689.699, 70.000, 659.699, 
h, 11, 87.500, 1380.868, 93.333, 1333.702, 93.333, 1333.702, 93.333, 1273.702, 
h, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
v, 0, 93.333, 70.428, 98.000, 70.856, 98.000, 70.856, 98.000, 70.856, 
v, 1, 70.000, 83.382, 80.528, 84.124, 80.528, 84.124, 80.529, 84.125, 
v, 2, 56.000, 85.006, 56.000, 85.006, 56.000, 85.006, 56.000, 73.111, 
v, 3, -, -, 93.333, 655.897, 93.333, 655.897, 93.324, 635.367, 
v, 4, 80.000, 70.647, 98.000, 73.035, 98.000, 73.035, 98.000, 73.035, 
v, 5, 56.000, 113.197, 56.000, 113.197, 87.500, 154.946, 87.491, 132.843, 
v, 6, 35.000, 95.006, 35.000, 95.006, 87.500, 156.756, 87.491, 154.513, 
v, 7, 87.500, 168.800, 35.000, 107.013, 87.500, 168.748, 87.491, 164.747, 
v, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
v, 9, -, -, 80.000, 663.401, 80.000, 653.401, 79.992, 602.318, 
v, 11, 87.500, 1400.827, 93.333, 1413.701, 93.333, 1413.701, 93.324, 1263.331, 
v, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 87.491, 240.966, 
hv, 0, 93.333, 70.428, 98.000, 70.856, 98.000, 70.856, 98.000, 70.856, 
hv, 1, 80.000, 83.887, 56.000, 82.639, 80.528, 84.124, 80.529, 84.125, 
hv, 2, 56.000, 85.057, 56.000, 85.006, 56.000, 85.006, 56.000, 73.111, 
hv, 3, -, -, 93.333, 655.898, 93.333, 655.898, 93.324, 655.477, 
hv, 4, 80.000, 70.647, 98.000, 73.035, 98.000, 73.035, 98.000, 73.035, 
hv, 5, 56.000, 113.217, 63.923, 133.197, 87.500, 154.946, 87.491, 132.842, 
hv, 6, 35.000, 105.058, 70.000, 136.256, 87.500, 156.756, 87.491, 154.505, 
hv, 7, 56.000, 137.802, 56.000, 137.750, 87.500, 168.748, 87.491, 164.747, 
hv, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
hv, 9, -, -, 80.000, 643.405, 80.000, 623.405, 84.337, 692.148, 
hv, 11, 87.500, 1400.827, 93.333, 1413.701, 93.333, 1413.701, 93.324, 1263.331, 
hv, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 87.491, 240.966, 
n, 0, 87.500, 70.001, 98.000, 70.856, 98.000, 70.856, 98.000, 70.856, 
n, 1, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 
n, 2, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 
n, 4, 80.000, 71.281, 98.000, 73.035, 98.000, 73.035, 98.000, 73.035, 
n, 5, 74.679, 113.017, 53.333, 92.016, 74.679, 113.017, 74.679, 113.017, 
n, 6, 55.994, 94.884, 21.847, 83.111, 48.555, 84.884, 56.000, 94.884, 
n, 7, 55.994, 105.126, 55.994, 105.125, 48.555, 95.125, 56.000, 105.125, 
n, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
n, 11, 87.500, 1380.868, 87.500, 1093.702, 87.500, 1093.702, 87.500, 1417.388, 
n, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
h, 11, 87.500, 1370.868, 93.333, 1333.702, 93.333, 1333.702, 93.324, 1273.702, 
h, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
v, 11, 87.500, 1400.827, 93.333, 1413.701, 93.333, 1413.701, 93.324, 1263.339, 
v, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 87.491, 240.966, 
hv, 11, 87.500, 1400.827, 93.333, 1413.702, 93.333, 1413.701, 93.324, 1263.339, 
hv, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 87.491, 240.966, 
n, 11, 87.500, 1400.012, 87.500, 1093.702, 87.500, 1093.702, 87.500, 1093.702, 
n, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
h, 13, 93.333, 75.708, 93.333, 68.562, 93.333, 68.562, 93.333, 68.562, 
v, 13, 93.333, 75.708, 93.333, 68.562, 93.333, 68.562, 93.333, 68.562, 
hv, 13, 93.333, 75.708, 93.333, 68.562, 93.333, 68.562, 93.333, 68.562, 
n, 13, 87.500, 70.001, 93.333, 68.562, 93.333, 68.562, 93.333, 68.562, 
